YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf [Hz],SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR_plot [dB],P [W],fs [Hz],OSR,fsnyq [Hz],P/fsnyq [pJ],FOMW_lf [fJ/conv-step],FOMW_hf [fJ/conv-step],FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)"
1997,8.1,NQ,SAR,1,"A MOSFET-only, 10 b, 200 ksample/s A/D converter capable of 12 b untrimmed linearity","The linearity of a successive approximation (SA) A/D converter is typically limited by its passive network. Published converters based on capacitive arrays or resistive ladders are limited to around 10 b if no trimming or calibration is used. Although static measurements show that MOS transistors are capable of excellent matching, few MOSFET-only converters achieved more than 10 b accuracy without self-calibration. This A/D converter adopts the current division ladder network based on MOSFETs. Extensive measurements on the MOSFET ladders with different resolutions and geometry establish the achievable linearity ","Hammerschmied, C.; Qiuting Huang", , ,2.155,,1.00E+05,56.5,,,,,56.5,1.20E-02,2.00E+05,1,2.00E+05,6.00E+04,,109339.8,,125.8,5.47E-01,178.76
1997,8.2,NQ,Folding,1.00 BiCMOS,A 12 b 50 M sample/s cascaded folding and interpolating ADC,"The architecture of this 12 b ADC is based on a three-stage conversion, using cascaded folding and interpolating techniques. Compared to other multi-stage ADC architectures, folding and interpolating ADCs are based on non-linear analog pre-processing. This architecture is an attractive solution for high-resolution ADCs, as extremely linear circuit topologies are not required. To increase the resolution of folding and interpolating ADCs above the published 8 b examples, without raising the number of parallel input stages or the number of comparators in the fine-comparator, a cascaded folding and interpolating architecture is introduced. The ADC achieves 64 dB signal-to-noise ratio (SNR) and 75 dB spurious-free dynamic range (SFDR), while quantizing a 15 MHz full-scale input signal at 50 MSample/s. The 7.0 mm2 ADC is fabricated in a 13 GHz, 1 _m BiCMOS process and dissipates 300 mW from a single 5.0 V supply. The device is mounted in a standard 44-pin plastic package ","Vorenkamp, P.; Roovers, R.", , ,7,,2.50E+07,,64.0,,,75.0,64.0,3.00E-01,5.00E+07,1,5.00E+07,6.00E+03,,4632.8,,143.2,9.27E-05,220.20
1997,8.3,NQ,Folding,0.5,A 170 mW 10 b 50 Msample/s CMOS ADC in 1 mm2,"This 10 b AD-converter at a sample rate of 5O MSample/s, embedded in 50mm2 of digital circuitry, shows 8.7 effective bits. A straight flash-architecture would need 1023 accurate fast comparators. With a 2 V input range, a comparator offset voltage of no more than 1 mV can be tolerated. Taking into account that the 1 mV is a 3-6 sigma value, leads to a large chip. If, however, the signals to the comparator are amplified before the critical decision, simple small comparators would suffice. To cope with the dynamic offset caused by the clocking and latch action of the comparator itself, the architecture must tolerate comparator offsets of up to 60-80 mV. Hence, a gain of at least 30 is necessary. A single amplifier however, could not handle this, as the input range of 2 V would be amplified to 60 V. The approach here is to use a distributed amplifier ","Bult, K.; Buchwald, A.; Laskowski, J.", , ,1,,2.50E+07,53.5,,,,,53.5,1.70E-01,5.00E+07,1,5.00E+07,3.40E+03,,8762.4,,135.2,1.75E-04,212.20
1997,8.4,NQ,Two-step,Bipolar,A 12 b 128 MSample/s ADC with 0.05 LSB DNL,"This analog-to-digital converter uses integrated dither, dynamic element matching, and output data scrambling to achieve SFDR of 85dB and DNL below 0.05LSB at l28MSample/s. This compares to about 0.5LSB DNL for slower 12b converters. The basic two-step flash architecture is shown. The ±0.25V input is amplified to ±1V and held in the track-and-hold circuit when the input clock rises. The 32 comparators in ADC1 produce an approximation that switches the 32 matched current sources in the main DAC. The residue is formed and amplified in the summer to ±0.5V and is converted by ADC2, an 8b folding-and-interpolating flash ADC. To allow low clock rates, there is no analog pipelining, and all analog settling from the track-to-hold transition to latching the result in ADC2 takes only 4.4ns. The ADC1 and ADC2 results added together form the 12b output. The total signal-to-data-output delay is slightly more than two cycles due to digital pipelining","Jewett, R.; Poulton, K.; Kuo-Chiang Hsieh; Doernberg, J.", , ,,,6.40E+07,,58.4,,,,58.4,5.70E+00,1.28E+08,1,1.28E+08,4.45E+04,,65521.3,,128.9,5.12E-04,209.98
1997,8.8,NQ,Pipe,1.4,A 15 b 5 MSample/s low-spurious CMOS ADC,"This 15b CMOS ADC at 5MSample/s has four stages with 5, 5, 5, and 6b each. The number of bits resolved per stage is set higher to achieve the same resolution with less accurate components. Resolving more bits per stage greatly simplifies op amp design and reduces the initial capacitor matching requirement. Furthermore, residue amplifiers with low feedback factors are less sensitive to summing-node parasitics. The first two 5b stages are calibrated using the remaining part of the ADC. Two stages are selected for calibration. The gain ofthe 5b residue amplifier is set to 16 to make room for digital correction. After digital correction, the chip has an 18b output. Performance up to 16b level can be tested after removing 2 LSBs corrupted by digital processing. System partitioning and multi-stage calibration solve two fundamental problems of capacitor matching and finite opamp gain ","Sung-Ung Kwak; Bang-Sup Song; Bacrania, K.",Power includes digital (addtl. 70mW), ,27.28,,2.50E+06,84.9,86.9,,,93.0,84.9,1.30E-01,5.00E+06,1,5.00E+06,2.60E+04,,1809.5,,157.7,3.62E-04,224.73
1997,13.1,OS,"SDSC, Pipe",0.6,A 16b __ pipeline ADC with 2.5 MHz output data-rate,"A 16b 2.5 MHz A/D converter in 0.6 _m CMOS addresses the need for wide dynamic range A/D converters with bandwidths in excess of 1 MHz in multi-tone communication. This A/D converter combines the advantages of __ and pipeline A/D conversion techniques to provide wide dynamic range at a low-oversampling ratio. The device operates at a 20 MHz clock rate, 2.5 MHz output rate (8_ oversampling), and provides 89 dB SNR over a 1.25 MHz input bandwidth ","Brooks, T.L.; Robertson, D.H.; Kelly, D.F.; Del Muro, A.; Harston, S.W.", , ,31.8,,1.25E+06,,89.0,,,97.0,89.0,5.50E-01,2.00E+07,8,2.50E+06,2.20E+05,,9549.7,,152.6,3.82E-03,216.54
1997,13.2,OS,SDSC,0.5,Low-voltage double-sampled __ converters,"In theory, double-sampling in second-order __ analog-to-digital converters (ADC) can enhance the signal-to-noise ratio (SNR) by 15 dB. In practice however, the SNR performance is usually severely degraded because of mismatches occurring in switched-capacitors (SC). This paper introduces a simple method to solve this problem. Regarding __ digital-to-analog converters (DAC), in addition to double-sampling, the accompanying use of internal decimation helps to relax the bandwidth requirements of the opamps. Both circuitries are to be operational to supply voltages as low as 1.5 V by using clock bootstrapping. Chip implementation is in double-poly, 2-metal technology featuring 0.5 _m minimum channel lengths","Senderowicz, D.; Nicollini, G.; Pernici, S.; Nagari, A.; Confalonieri, P.; Dallavalle, C.", , ,0.39,,1.00E+03,81.0,,88.0,,,81.0,5.50E-04,1.00E+06,500,2.00E+03,2.75E+05,,29987.3,,143.6,1.50E+01,176.61
1997,13.3,OS,"SDSC, TI",0.6,A two-path bandpass __ modulator for digital IF extraction at 20 MHz,"There is expanding interest in the possibility of moving the intermediate frequency (IF) signal processing in radio receivers and radio test equipment from the analog domain into the digital domain. Digitization of IF processing confers several important advantages, including greater reliability, potentially lower power consumption, and improved performance as technology scales. Unfortunately, as analog signal processing is eliminated and the A/D conversion is moved away from baseband, the signal that must be digitized has a larger dynamic range, and the converter must operate at a higher sampling rate. This work introduces a two-path, switched-capacitor architecture for a bandpass __ modulator that is suited to digitizing narrowband radio signals with large dynamic range. A fourth-order bandpass modulator is implemented in a standard 0.6 _m, single-poly, triple-metal CMOS process. Operating from a single 3.3 V supply, the modulator digitizes a 200 kHz signal centered at an IF of 20 MHz with an extrapolated dynamic range of 75 dB ","Ong, A.K.; Wooley, B.A.",IF=20MHz, ,2.73,,2.00E+05,75.0,,75.0,,,75.0,7.20E-02,4.00E+07,100,4.00E+05,1.80E+05,,39165.9,,139.4,9.79E-02,195.46
1997,13.4,OS,SDCT,HBT,A bandpass __ modulator with 92 dB SNR and center frequency continuously programmable from 0 to 70 MHz,"Use of a bandpass __ modulator permits direct conversion of an analog signal to digital form at IF frequencies. This allows the ADC to be moved closer to the receiver front end. Moving the digital interface closer to the antenna reduces receiver analog circuit complexity, eliminates DC-offset cancellation, inphase/quadrature (I/Q) gain calibration, dual I/Q mixers and improves system robustness as mixing is in the digital domain. This second-order bandpass __ modulator is targeted for an airborne radar system but is also expected to find use in a variety of communications applications. Measurements yield signal to noise+distortion ratio (SNR) from 92 dB (15 b) in narrowband ( 366 kHz) to 44 dB (7 b) in broadband (62.6 MHz) about a center frequency of 55.5 MHz. Modulator sampling rate is 4 GHz and it is implemented in AlInAs-InGaAs HBT technology. The performance represents an improvement of approximately a factor of 10 in bandwidth, resolution and center frequency over other reported bandpass modulators ","Raghavan, G.; Jensen, J.F.; Walden, R.H.; Posey, W.P.","Data taken for max. BW, IF=55MHz", ,0.5625,,6.26E+07,44.1,,,,,44.1,1.40E+00,4.00E+09,32,1.25E+08,1.12E+04,,85371.5,,120.6,6.82E-04,201.58
1997,13.5,OS,"SDCT, Complex",0.8,A quadrature bandpass __ modulator for digital radio,"In a bandpass __ modulator, bandpass filtering and feedback around a low-resolution quantizer shape the noise spectrum, facilitating accurate A/D conversion on narrow-band input signals. This is extended to the quadrature, or complex, case if a complex filter - having complex-valued coefficients and thus not restricted to a symmetrical frequency response - is placed in a __ loop. The modulator performs a “complex” A/D conversion on the pair of analog inputs, that are in phase-quadrature, and it has two high-speed bit stream outputs: one represents the real output; the other the imaginary output. When combined, these outputs form a complex signal that accurately represents the complex input within a narrow frequency band. This quadrature modulator is useful in architectures for a single-chip digital-radio receiver. The receiver ideally has no image response, and thus the bulky narrow-band image-rejection filter in the RF stage of a single-path receiver can be replaced with a broadband one. The architecture alleviates many problems of the direct-conversion receiver, often considered for single-chip implementations, since the input signal is mixed to a non-zero IF where 1/f noise and DC offsets cause no problem and self-interference is not an issue because oscillator frequency is offset from the carrier frequency. The quadrature modulator IC uses standard fully-differential switched-capacitor circuit techniques and is implemented in 0.8 _m CMOS technology ","Jantzi, S.; Martin, K.; Sedra, A.","Data taken for max. BW, IF=3.75MHz", ,4.32,,2.00E+05,62.0,,67.0,,,62.0,1.30E-01,1.00E+07,25,4.00E+05,3.25E+05,,315924.4,,123.9,7.90E-01,179.89
